,symbol,market,contract,name,trade,settlement,prevsettlement,open,high,low,close,bid,ask,bidvol,askvol,volume,position,currentvol,ticktime,tradedate,changepercent,createtime,updatetime
0,TA0,czce,PTA,PTA连续,5808,5812,5824,5850,5898,5758,5880,5808,5810,66,232,845844,695968,0,15:00:10,2018-11-29,-0.0027473,2018.11.29 17:26:26 ,
1,TA1905,czce,PTA,PTA1905,5808,5812,5824,5850,5898,5758,5880,5808,5810,66,232,845844,695968,0,15:00:10,2018-11-29,-0.0027473,2018.11.29 17:26:26 ,
2,TA1901,czce,PTA,PTA1901,5994,5982,5962,5990,6044,5944,6028,5994,5996,1,195,619606,660184,0,15:00:10,2018-11-29,0.0053673,2018.11.29 17:26:26 ,
3,TA1903,czce,PTA,PTA1903,5852,5852,5858,5888,5926,5808,5906,5852,5856,20,2,79618,150726,0,15:00:10,2018-11-29,-0.0010242,2018.11.29 17:26:26 ,
4,TA1909,czce,PTA,PTA1909,5784,5784,5800,5828,5870,5740,5854,5784,5788,43,5,10206,44714,0,15:00:10,2018-11-29,-0.0027586,2018.11.29 17:26:26 ,
0,OI0,czce,菜油,菜油连续,6383,6403,6380,6392,6430,6375,6388,6383,6384,20,8,105862,206748,0,15:00:10,2018-11-29,0.0004702,2018.11.29 17:26:26 ,
1,OI1901,czce,菜油,菜油1901,6383,6403,6380,6392,6430,6375,6388,6383,6384,20,8,105862,206748,0,15:00:10,2018-11-29,0.0004702,2018.11.29 17:26:26 ,
2,OI1905,czce,菜油,菜油1905,6555,6573,6544,6564,6596,6546,6556,6553,6554,1,8,81710,193862,0,15:00:10,2018-11-29,0.0016809,2018.11.29 17:26:26 ,
3,OI1909,czce,菜油,菜油1909,6687,6705,6681,6700,6730,6679,6695,6685,6688,2,3,5326,25492,0,15:00:10,2018-11-29,0.0008981,2018.11.29 17:26:26 ,
4,OI1907,czce,菜油,菜油1907,6764,6784,6802,6864,6864,6724,6802,6760,6895,1,1,6,12,0,15:00:10,2018-11-22,-0.0055866,2018.11.29 17:26:26 ,
0,RS1908,czce,菜籽,菜籽1908,0,0,5475,0,0,0,5475,5300,5688,1,1,0,16,0,08:59:28,2018-11-29,0,2018.11.29 17:26:26 ,
1,RS1909,czce,菜籽,菜籽1909,0,0,5468,0,0,0,5468,5100,5688,1,1,0,8,0,08:59:28,2018-11-29,0,2018.11.29 17:26:26 ,
2,RS0,czce,菜籽,菜籽连续,0,0,5271,0,0,0,5271,0,5688,0,1,0,0,0,08:59:28,2018-11-29,0,2018.11.29 17:26:26 ,
3,RS1907,czce,菜籽,菜籽1907,0,0,5271,0,0,0,5271,0,5688,0,1,0,0,0,08:59:28,2018-11-29,0,2018.11.29 17:26:26 ,
4,RS1911,czce,菜籽,菜籽1911,0,0,5599,0,0,0,5599,0,5979,0,1,0,0,0,08:59:28,2018-11-29,0,2018.11.29 17:26:26 ,
0,RM0,czce,菜粕,菜粕连续,2187,2192,2182,2184,2207,2178,2185,2186,2187,43,34,217558,339242,0,15:00:10,2018-11-29,0.0022915,2018.11.29 17:26:26 ,
1,RM1905,czce,菜粕,菜粕1905,2187,2192,2182,2184,2207,2178,2185,2186,2187,43,34,217558,339242,0,15:00:10,2018-11-29,0.0022915,2018.11.29 17:26:26 ,
2,RM1901,czce,菜粕,菜粕1901,2196,2206,2199,2195,2225,2190,2198,2196,2197,33,147,629520,287806,0,15:00:10,2018-11-29,-0.0013643,2018.11.29 17:26:26 ,
3,RM1903,czce,菜粕,菜粕1903,2211,2224,2214,2228,2228,2211,2213,2211,2215,36,1,7646,119938,0,15:00:10,2018-11-29,-0.0013550,2018.11.29 17:26:26 ,
4,RM1907,czce,菜粕,菜粕1907,2199,2209,2200,2207,2210,2196,2191,2198,2206,2,1,2026,97304,0,15:00:10,2018-11-29,-0.0004545,2018.11.29 17:26:26 ,
0,ZC0,czce,动力煤,动力煤连续,595.2,599.0,602.6,602.8,604.4,592.8,602.8,595.0,595.2,333,9,214574,215806,0,15:00:10,2018-11-29,-0.0122801,2018.11.29 17:26:26 ,
1,ZC1901,czce,动力煤,动力煤1901,595.2,599.0,602.6,602.8,604.4,592.8,602.8,595.0,595.2,333,9,214574,215806,0,15:00:10,2018-11-29,-0.0122801,2018.11.29 17:26:26 ,
2,ZC1905,czce,动力煤,动力煤1905,561.0,564.6,569.0,569.0,570.8,560.2,568.6,561.0,561.2,30,10,80848,143944,0,15:00:10,2018-11-29,-0.0140598,2018.11.29 17:26:26 ,
3,ZC1903,czce,动力煤,动力煤1903,572.0,576.4,580.0,580.0,581.6,571.6,580.4,571.8,572.4,3,2,22486,54862,0,15:00:10,2018-11-29,-0.0137931,2018.11.29 17:26:26 ,
